word,article,plural,translation,example sentence normal,example sentence plural
buchstabieren,–,–,to spell,"Bitte buchstabiere deinen Namen. (Please spell your name.)",
Bühne,die,-n,stage,"Die Schauspieler betreten die Bühne. (The actors enter the stage.)","Die Bühnen im Theater sind groß. (The stages in the theater are large.)"
Bulgarisch,–,–,Bulgarian,"Ich lerne Bulgarisch. (I am learning Bulgarian.)",
Burg,die,-en,castle,"Die Burg steht auf einem Hügel. (The castle stands on a hill.)","Viele Burgen in Europa sind gut erhalten. (Many castles in Europe are well preserved.)"
Büro,das,-s,office,"Das Büro ist im dritten Stock. (The office is on the third floor.)","Die Büros im Gebäude sind modern. (The offices in the building are modern.)"
Bus,der,-se,bus,"Der Bus kommt in zehn Minuten. (The bus arrives in ten minutes.)","Viele Leute fahren morgens mit dem Bus. (Many people take the bus in the morning.)"
Butter,die,–,butter,"Ich brauche Butter für den Kuchen. (I need butter for the cake.)",
Butterbrot,das,-e,sandwich (with butter),"Zum Frühstück esse ich ein Butterbrot. (For breakfast I eat a butter sandwich.)","Die Butterbrote sind lange haltbar. (The butter sandwiches keep for a long time.)"
Café,das,-s,café,"Wir treffen uns im Café. (We meet in the café.)","Die Cafés in diesem Viertel sind gemütlich. (The cafés in this neighborhood are cozy.)"
Campingurlaub,der,-e,camping holiday,"Ein Campingurlaub in den Bergen ist erholsam. (A camping holiday in the mountains is relaxing.)","Viele Campingurlaube finden am See statt. (Many camping holidays take place at the lake.)"
CD,die,-s,CD,"Ich höre eine CD. (I am listening to a CD.)","Die CDs in seiner Sammlung sind selten. (The CDs in his collection are rare.)"
Cents,der,-s,cents,"Das kostet 50 Cents. (That costs 50 cents.)","Viele Dinge kosten nur wenige Cents. (Many things cost only a few cents.)"
Champignon,der,-s,mushroom,"Der Champignon ist frisch und lecker. (The mushroom is fresh and tasty.)","In der Suppe sind viele Champignons. (There are many mushrooms in the soup.)"
Chef,der,-s,boss,"Der Chef hat eine Rede gehalten. (The boss gave a speech.)","Die Chefs besprechen die Strategie. (The bosses discuss the strategy.)"
Chefin,die,-nen,boss (feminine),"Die Chefin leitet das Team. (The female boss leads the team.)","Alle Mitarbeiter mögen ihre Chefinnen. (All employees like their female bosses.)"
chillen,–,–,to chill (relax),"Am Wochenende chille ich am Strand. (I chill at the beach on weekends.)",
Chips,die,–,chips,"Ich esse gern Chips. (I like to eat chips.)",
Chor,der,-e,choir,"Der Chor probt jeden Dienstagabend. (The choir rehearses every Tuesday evening.)","Viele Chöre singen zu Weihnachten in Kirchen. (Many choirs sing in churches at Christmas.)"
ciao,–,–,bye (informal),"Ciao, bis morgen! (Bye, see you tomorrow!)",
circa,–,–,about,"Die Reise dauert circa drei Stunden. (The trip lasts about three hours.)",
Club,der,-s,club,"Er ist Mitglied in einem Club. (He is a member of a club.)","Die Clubs in der Stadt haben verschiedene Themen. (The clubs in the city have different themes.)"
Cola,die/das,-s,cola,"Ich trinke eine Cola. (I drink a cola.)","Die Colas in der Kneipe sind teuer. (The colas in the pub are expensive.)"
Comic,der,-s,comic,"Ich kaufe einen Comic. (I buy a comic.)","Die Comics stehen im Regal. (The comics are on the shelf.)"
Computer,der,–,computer,"Der Computer ist schnell. (The computer is fast.)",
Computerarbeit,die,–,computer work,"Die Computerarbeit macht meine Augen müde. (Computer work makes my eyes tired.)",
Computerfirma,die,-firmen,computer company,"Die Computerfirma stellt neue Software her. (The computer company develops new software.)","In Deutschland gibt es viele Computerfirmen. (There are many computer companies in Germany.)"
Computerproblem,das,-e,computer problem,"Ich habe ein Computerproblem. (I have a computer problem.)","Die Computerprobleme wurden behoben. (The computer problems were fixed.)"
cool,–,–,cool,"Das ist echt cool! (That is really cool!)",
da,–,–,there,"Da ist ein Vogel. (There is a bird.)",
da sein,–,–,to be there,"Er wird garantiert da sein. (He will definitely be there.)",
da vorne,–,–,over there,"Da vorne ist der Eingang. (Over there is the entrance.)",
Dame,die,-n,lady,"Die Dame trägt einen schicken Hut. (The lady is wearing a stylish hat.)","Viele Damen interessieren sich für Mode. (Many ladies are interested in fashion.)"
Damenmode,die,-n,women's fashion,"Die Damenmode ist modern. (Women's fashion is modern.)","Viele Damenmoden folgen aktuellen Trends. (Many women's fashions follow current trends.)"
danach,–,–,afterwards,"Wir gehen essen und danach ins Kino. (We’ll go eat and afterwards to the cinema.)",
daneben,–,–,"next to, beside","Das Buch liegt daneben. (The book is lying next to it.)",
Dank,der,–,thanks,"Ich möchte dir meinen Dank aussprechen. (I’d like to express my thanks to you.)",
danke,–,–,thank you,"Danke für das Gespräch. Auf Wiederhören! (Thanks for the conversation. Goodbye!)","Danke, das war sehr nett. (Thank you, that was very kind.)"
danke schön,–,–,thank you very much,"Danke schön für deine Hilfe. (Thank you very much for your help.)",
danken,–,–,to thank,"Ich möchte allen Teilnehmern danken. (I want to thank all participants.)",
dann,–,–,then,"Wir treffen uns um acht und dann gehen wir essen. (We meet at eight and then we’ll go eat.)",
darauf,–,–,"thereupon, on it","Darauf habe ich lange gewartet. (I’ve waited a long time for that.)",
das,–,–,that (demonstrative pronoun),"Das ist genau das, was ich gesucht habe. (That is exactly what I was looking for.)",
Datei,die,-en,file,"Speichere die Datei auf dem Desktop. (Save the file on the desktop.)","Öffne alle Dateien im Ordner. (Open all files in the folder.)"
Daten,die,–,data,"Die Daten müssen aktualisiert werden. (The data needs to be updated.)",
Dativ,der,–,dative case,"Im Dativ steht das Nomen mit einem bestimmten Artikel. (In the dative case, the noun takes a definite article.)",
Datum,das,–,date,"Welches Datum haben wir heute? (What is today’s date?)",
dauern,–,–,to last,"Der Film wird zwei Stunden dauern. (The film will last two hours.)",
dazu,–,–,to that,"Dazu passt ein grüner Salat. (A green salad goes well with that.)",
Decke,die,-n,"ceiling, blanket","Die Decke im Wohnzimmer ist weiß. (The ceiling in the living room is white.)","Im Schrank liegen viele warme Decken. (There are many warm blankets in the closet.)"
Deckel,der,–,lid,"Setze den Deckel auf den Topf. (Put the lid on the pot.)",
dein,–,–,your (informal),"Ist das dein Handy? (Is that your phone?)",
ihnen,–,–,to them (dative),Ich gebe ihnen das Buch. (I give them the book.)
Demonstrativartikel,der,–,demonstrative article,"Ein Demonstrativartikel zeigt auf etwas Bestimmtes. (A demonstrative article points to something specific.)",
den,–,–,"the (accusative, masculine)","Ich sehe den Mann dort drüben. (I see the man over there.)",
denken,–,–,to think,"Ich muss erst darüber nachdenken. (I have to think about it first.)",
denn,–,–,because,"Ich komme nicht, denn ich bin krank. (I’m not coming because I’m sick.)",
Design,das,-s,design,"Das Design des Stuhls ist modern. (The design of the chair is modern.)","Viele Designs sind sehr kreativ. (Many designs are very creative.)"
Designer,der,–,designer (masculine),"Der Designer entwirft neue Möbel. (The designer creates new furniture.)","In der Stadt leben viele Designer. (Many designers live in the city.)"
Designerin,die,-nen,designer (feminine),"Die Designerin arbeitet für ein Modehaus. (The female designer works for a fashion house.)","Berühmte Designerinnen zeigen ihre Kollektionen. (Famous female designers show their collections.)"
Designfan,der,-s,design fan,"Der Designfan liebt moderne Architektur. (The design fan loves modern architecture.)","Viele Designfans besuchen die Ausstellung. (Many design fans visit the exhibition.)"
Dessert,das,-s,dessert,"Zum Dessert gibt es Eis. (For dessert there’s ice cream.)",
Deutsch,–,–,German,"Ich spreche Deutsch. (I speak German.)",
Deutschbuch,das,-er,German book,"Das Deutschbuch liegt auf dem Tisch. (The German book is on the table.)","Die Deutschbücher helfen beim Lernen. (The German books help with learning.)"
Deutschland,–,–,Germany,"Deutschland ist ein schönes Land. (Germany is a beautiful country.)","Die Länder Europas haben unterschiedliche Kulturen. (The countries of Europe have different cultures.)"
Deutschsprachig,–,–,German-speaking,"In dieser Region sind viele Menschen deutschsprachig. (In this region, many people are German-speaking.)",
Dezember,der,–,December,"Im Dezember schneit es oft. (It often snows in December.)",
Dialog,der,-e,dialogue,"Der Dialog im Film war sehr emotional. (The dialogue in the film was very emotional.)","In den Dialogen hört man verschiedene Meinungen. (In the dialogues you hear different opinions.)"
Dich,–,–,"you (accusative, informal)","Ich sehe dich morgen. (I’ll see you tomorrow.)",
direkt,–,–,direct,"Gib mir bitte eine direkte Antwort. (Please give me a direct answer.)",
dirigieren,–,–,to direct,"Er wird das Orchester dirigieren. (He will direct the orchestra.)",
diskutieren,–,–,to discuss,"Wir müssen das Problem besprechen und diskutieren. (We need to discuss the problem.)",
doch,–,–,"but, however","Ich bin müde, doch ich muss weiterarbeiten. (I’m tired but I have to keep working.)",
Doktor,der,-en,doctor,"Der Doktor hilft mir bei meiner Erkältung. (The doctor helps me with my cold.)","Viele Doktoren arbeiten im Krankenhaus. (Many doctors work in the hospital.)"
Döner,der,–,kebab,"Ein Döner schmeckt immer gut. (A kebab always tastes good.)",
Donnerstag,der,-e,Thursday,"Am Donnerstag habe ich frei. (I’m off on Thursday.)","Donnerstage sind oft stressig. (Thursdays are often stressful.)"
doof,–,–,stupid,"Das war eine doofe Idee. (That was a stupid idea.)",
doppelt,–,–,double,"Die Kosten sind doppelt so hoch. (The costs are twice as high.)",
Doppelzimmer,das,-e,double room,"Wir haben ein Doppelzimmer reserviert. (We reserved a double room.)","Die Doppelzimmer sind gut ausgestattet. (The double rooms are well equipped.)"
Dorf,das,-er,village,"Das Dorf liegt am Fluss. (The village lies on the river.)","Viele Dörfer in der Region sind malerisch. (Many villages in the region are picturesque.)"
Dose,die,-n,can,"Öffne die Dose Bohnen. (Open the can of beans.)","Die Dosen stehen im Vorratsschrank. (The cans are in the pantry.)"
draußen,–,–,outside,"Draußen liegt Schnee. (There is snow outside.)",
drei,–,–,three,"Drei plus zwei ist fünf. (Three plus two is five.)",
dreimal,–,–,three times,"Ich habe es dreimal versucht. (I tried it three times.)",
dreißig,–,–,thirty,"Er wird dreißig Jahre alt. (He is turning thirty.)",
dreizehn,–,–,thirteen,"Das Kind ist dreizehn Jahre alt. (The child is thirteen years old.)",
dritt,–,–,third,"Er wurde dritt im Rennen. (He came third in the race.)",
drucken,–,–,to print,"Kannst du das Dokument drucken? (Can you print the document?)",
Drucker,der,–,printer,"Der Drucker ist kaputt. (The printer is broken.)","In unserem Büro stehen zwei Drucker. (There are two printers in our office.)"
du,–,–,you (informal),"Du siehst heute müde aus. (You look tired today.)","Du kannst mein Fahrrad benutzen. (You can use my bike.)"
dunkel,–,–,dark,"Es wird bald dunkel. (It will get dark soon.)",
durch,–,–,through,"Wir gehen durch den Park. (We walk through the park.)",
dürfen,–,–,to be allowed to,"Darf ich hier parken? (Am I allowed to park here?)",
Durst,der,–,thirst,"Ich habe großen Durst. (I’m very thirsty.)",
Dusche,die,-n,shower,"Ich nehme eine Dusche. (I’m taking a shower.)","Die Duschen im Fitnessstudio sind sauber. (The showers at the gym are clean.)"
duschen,–,–,to shower,"Ich dusche jeden Morgen. (I shower every morning.)",
Duschgel,das,-s,shower gel,"Ich benutze Aromaduschgel. (I use aromatic shower gel.)",
ebenso,–,–,likewise,"Ebenso möchte ich dir gratulieren. (Likewise, I want to congratulate you.)",
echt,–,–,"real, genuine","Das ist ein echt tolles Geschenk. (That is a really great gift.)",
Ecke,die,-n,corner,"Die Ecke ist dunkel. (The corner is dark.)","In den Ecken sammeln sich Staubpartikel. (Dust particles collect in the corners.)"
egal,–,–,equal,"Mir ist egal, was du denkst. (I don’t care what you think.)",
Ehefrau,die,-en,wife,"Seine Ehefrau arbeitet als Lehrerin. (His wife works as a teacher.)","Viele Ehefrauen unterstützen ihre Partner. (Many wives support their partners.)"
Ehemann,der,–,husband,"Ihr Ehemann reist viel. (Her husband travels a lot.)",
Ei,das,-er,egg,"Ein Ei enthält viel Protein. (An egg contains a lot of protein.)","Die Eier liegen im Kühlschrank. (The eggs are in the fridge.)"
eigene,–,–,own,"Ich habe meine eigene Meinung. (I have my own opinion.)",
eigentlich,–,–,actually,"Eigentlich wollte ich nicht kommen. (Actually, I didn’t want to come.)",
eilig,–,–,in a hurry,"Ich habe es eilig. (I’m in a hurry.)",
ein,–,–,a (indefinite article),"Ich habe ein neues Auto gekauft. (I bought a new car.)",
ein bisschen,–,–,a little,"Ich spreche ein bisschen Deutsch. (I speak a little German.)",
ein paar,–,–,a few,"Ich habe ein paar Fragen. (I have a few questions.)",
einfach (1),–,–,simple,"Die Lösung ist ganz einfach. (The solution is quite simple.)",
einfach (2),–,–,simple (for everyone),"Das Spiel ist einfach zu lernen. (The game is simple for everyone to learn.)",
einfallen,–,–,to occur (to come to mind),"Mir fällt gerade nichts ein. (Nothing comes to mind right now.)",
eingeben,–,–,"to enter (e.g., a password)","Bitte gib dein Passwort ein. (Please enter your password.)",
einhundert,-,-,one hundred,Einhundert Personen sind eingeladen. (One hundred people are invited.),
Einkauf,der,-e,purchase,Der Einkauf war heute sehr teuer. (The purchase was very expensive today.),Die Einkäufe sind schon im Auto. (The purchases are already in the car.)
